name,station,date,max temperature,min temperature,snow depth,precipitation
Oslo - Blindern,SN18700,2022-10-09,14,3.1,0,0
Oslo - Blindern,SN18700,2022-10-10,13.6,7.7,0,0
Oslo - Blindern,SN18700,2022-10-11,13,1.5,0,1.3
Oslo - Blindern,SN18700,2022-10-12,11.7,0.6,0,0
Oslo - Blindern,SN18700,2022-10-13,11,9.6,0,3.5
Oslo - Blindern,SN18700,2022-10-14,11.3,8.4,0,14.4
Oslo - Blindern,SN18700,2022-10-15,13.7,8.1,0,6.6
Oslo - Blindern,SN18700,2022-10-16,9.5,3.2,0,8
Oslo - Blindern,SN18700,2022-10-17,7.7,2.3,0,8.1
Oslo - Blindern,SN18700,2022-10-18,10.7,5.4,0,5.3
Oslo - Blindern,SN18700,2022-10-19,8.8,0,0,0
Oslo - Blindern,SN18700,2022-10-20,5.6,-0.4,0,0
Oslo - Blindern,SN18700,2022-10-21,5.4,3.2,0,0
Oslo - Blindern,SN18700,2022-10-22,7.5,3.4,0,0
Oslo - Blindern,SN18700,2022-10-23,5,0.3,0,0
Oslo - Blindern,SN18700,2022-10-24,7.4,4.7,0,0.1
Oslo - Blindern,SN18700,2022-10-25,10.2,6.4,0,10.6
Oslo - Blindern,SN18700,2022-10-26,6.4,2.4,0,1.3
Oslo - Blindern,SN18700,2022-10-27,12,5.8,0,1.6
Oslo - Blindern,SN18700,2022-10-28,11.7,8.8,0,0.3
Oslo - Blindern,SN18700,2022-10-29,14.2,7.7,0,8.2
Oslo - Blindern,SN18700,2022-10-30,8.1,2.1,0,0
Oslo - Blindern,SN18700,2022-10-31,13.3,7.5,0,1.2
Oslo - Blindern,SN18700,2022-11-01,10.8,6.6,0,0.1
Oslo - Blindern,SN18700,2022-11-02,11.7,9,0,7
Oslo - Blindern,SN18700,2022-11-03,10.8,4.9,0,5.5
Oslo - Blindern,SN18700,2022-11-04,10.4,8.3,0,6.4
Oslo - Blindern,SN18700,2022-11-05,10,6.2,0,6.4
Oslo - Blindern,SN18700,2022-11-06,10,3.2,0,6.1
Oslo - Blindern,SN18700,2022-11-07,8.7,5.8,0,13.9
Oslo - Blindern,SN18700,2022-11-08,7.3,1.8,0,6.7
Oslo - Blindern,SN18700,2022-11-09,11.9,7.2,0,10.1
Oslo - Blindern,SN18700,2022-11-10,10.6,5.3,0,0.6
Oslo - Blindern,SN18700,2022-11-11,14.5,10.5,0,1.6
Oslo - Blindern,SN18700,2022-11-12,15.1,7.4,0,0
Oslo - Blindern,SN18700,2022-11-13,7.7,4.6,0,0
Oslo - Blindern,SN18700,2022-11-14,7.9,6.5,0,0
Oslo - Blindern,SN18700,2022-11-15,6.5,3.1,0,0
Oslo - Blindern,SN18700,2022-11-16,3.9,2.1,0,0
Oslo - Blindern,SN18700,2022-11-17,2.3,0.7,0,0.2
Oslo - Blindern,SN18700,2022-11-18,1.4,0.2,0,0
Oslo - Blindern,SN18700,2022-11-19,1,-2.1,0,0
Oslo - Blindern,SN18700,2022-11-20,-0.4,-2.1,0,0
Oslo - Blindern,SN18700,2022-11-21,0.5,-1.2,0,0.3
Oslo - Blindern,SN18700,2022-11-22,0.4,-1.7,0,1.3
Oslo - Blindern,SN18700,2022-11-23,1.6,0.3,2,2.4
Oslo - Blindern,SN18700,2022-11-24,2.1,0.7,0,3.7
Oslo - Blindern,SN18700,2022-11-25,3.4,1.9,0,3
Oslo - Blindern,SN18700,2022-11-26,3.2,1.9,0,0.3
Oslo - Blindern,SN18700,2022-11-27,5.4,2.9,0,6.1
Oslo - Blindern,SN18700,2022-11-28,4.7,3,0,1.1
Oslo - Blindern,SN18700,2022-11-29,4.2,2.4,0,0.3
Oslo - Blindern,SN18700,2022-11-30,2.7,1,0,0.3
Oslo - Blindern,SN18700,2022-12-01,2,0.1,0,0
Oslo - Blindern,SN18700,2022-12-02,1.8,-0.3,0,0
Oslo - Blindern,SN18700,2022-12-03,2,-0.2,0,0
Oslo - Blindern,SN18700,2022-12-04,-0.2,-1.7,0,0
Oslo - Blindern,SN18700,2022-12-05,-1.7,-6.2,0,0
Oslo - Blindern,SN18700,2022-12-06,-1.2,-6.7,0,0
Oslo - Blindern,SN18700,2022-12-07,-1,-6.6,0,0.1
Oslo - Blindern,SN18700,2022-12-08,-4.8,-9,0,0
Oslo - Blindern,SN18700,2022-12-09,-4.1,-7.5,0,0.5
Oslo - Blindern,SN18700,2022-12-10,-4.9,-8.6,0,0
Oslo - Blindern,SN18700,2022-12-11,-7.2,-10.8,1,0
Oslo - Blindern,SN18700,2022-12-12,-6,-9.5,1,0.2
Oslo - Blindern,SN18700,2022-12-13,-6.4,-11.2,2,0
Oslo - Blindern,SN18700,2022-12-14,-8.1,-14,11,4.2
Oslo - Blindern,SN18700,2022-12-15,-7.6,-14.6,7,0
Oslo - Blindern,SN18700,2022-12-16,-8.2,-13.7,6,0
Oslo - Blindern,SN18700,2022-12-17,-4,-8.2,16,2.4
Oslo - Blindern,SN18700,2022-12-18,1.5,-4.1,17,3
Oslo - Blindern,SN18700,2022-12-19,-0.7,-5.4,15,0.4
Oslo - Blindern,SN18700,2022-12-20,1.4,-1.8,16,3.9
Oslo - Blindern,SN18700,2022-12-21,1.8,0.1,13,7.4
Oslo - Blindern,SN18700,2022-12-22,2,0.6,9,8.1
Oslo - Blindern,SN18700,2022-12-23,0.6,-7.8,9,4.8
Oslo - Blindern,SN18700,2022-12-24,-7.6,-12.7,9,0
Oslo - Blindern,SN18700,2022-12-25,-0.9,-12.9,9,0
Oslo - Blindern,SN18700,2022-12-26,3.7,-1,9,12.8
Oslo - Blindern,SN18700,2022-12-27,3.4,-3.6,7,19.6
Oslo - Blindern,SN18700,2022-12-28,-3,-6.7,7,0
Oslo - Blindern,SN18700,2022-12-29,2.1,-3.9,11,3.3
Oslo - Blindern,SN18700,2022-12-30,4.6,0.2,8,7.6
Oslo - Blindern,SN18700,2022-12-31,6.5,0.9,7,7.2
Oslo - Blindern,SN18700,2023-01-01,1.1,-4.4,7,0
Oslo - Blindern,SN18700,2023-01-02,-2.3,-5,8,0.6
Oslo - Blindern,SN18700,2023-01-03,-4.5,-10.5,8,0
Oslo - Blindern,SN18700,2023-01-04,-3.6,-10.5,10,0.9
Oslo - Blindern,SN18700,2023-01-05,-2.5,-4,28,19.8
Oslo - Blindern,SN18700,2023-01-06,-3.1,-5.2,28,2.9
Oslo - Blindern,SN18700,2023-01-07,2,-3.4,35,7
Oslo - Blindern,SN18700,2023-01-08,5.7,1.7,28,9.1
Oslo - Blindern,SN18700,2023-01-09,4.5,2.9,19,11.2
Oslo - Blindern,SN18700,2023-01-10,3,-0.5,16,4.6
Oslo - Blindern,SN18700,2023-01-11,5,0.3,14,7.7
Oslo - Blindern,SN18700,2023-01-12,5,2.3,13,0.8
Oslo - Blindern,SN18700,2023-01-13,3.8,1.7,11,6.6
Oslo - Blindern,SN18700,2023-01-14,2.6,0.3,10,6.2
Oslo - Blindern,SN18700,2023-01-15,1.4,0.4,11,9.4
Oslo - Blindern,SN18700,2023-01-16,0.9,-4.1,12,1.8
Oslo - Blindern,SN18700,2023-01-17,1.8,-1.8,12,2.7
Oslo - Blindern,SN18700,2023-01-18,1.5,0.3,14,5.6
Oslo - Blindern,SN18700,2023-01-19,0.3,-1.6,13,2.3
Oslo - Blindern,SN18700,2023-01-20,-1,-5.6,15,1
Oslo - Blindern,SN18700,2023-01-21,-5.3,-11.6,14,0
Oslo - Blindern,SN18700,2023-01-22,-6.2,-13.4,15,0
Oslo - Blindern,SN18700,2023-01-23,-2.8,-6.2,15,0.2
Oslo - Blindern,SN18700,2023-01-24,1.7,-2.8,15,0.1
Oslo - Blindern,SN18700,2023-01-25,4.5,1.2,13,0
Oslo - Blindern,SN18700,2023-01-26,4.8,-0.6,11,0
Oslo - Blindern,SN18700,2023-01-27,0.4,-5.3,11,0
Oslo - Blindern,SN18700,2023-01-28,-0.3,-6,12,0
Oslo - Blindern,SN18700,2023-01-29,3.9,-3,12,0
Oslo - Blindern,SN18700,2023-01-30,7.2,-0.2,12,0
Oslo - Blindern,SN18700,2023-01-31,2.6,-3,12,0
Oslo - Blindern,SN18700,2023-02-01,-0.7,-3.4,13,0.4
Oslo - Blindern,SN18700,2023-02-02,0.6,-7.9,13,0
Oslo - Blindern,SN18700,2023-02-03,-1.8,-5.6,14,0.6
Oslo - Blindern,SN18700,2023-02-04,-2.3,-9.4,14,0.3
Oslo - Blindern,SN18700,2023-02-05,0.9,-3.2,18,4.8
Oslo - Blindern,SN18700,2023-02-06,-1.6,-4.8,18,0.2
Oslo - Blindern,SN18700,2023-02-07,0,-2.3,18,0
Oslo - Blindern,SN18700,2023-02-08,4.2,-1.9,17,0
Oslo - Blindern,SN18700,2023-02-09,6.2,2.5,13,0
Oslo - Blindern,SN18700,2023-02-10,3.3,-1.5,13,0.1
Oslo - Blindern,SN18700,2023-02-11,8.9,-1,13,0.2
Oslo - Blindern,SN18700,2023-02-12,5.3,-2.2,13,0
Oslo - Blindern,SN18700,2023-02-13,10.2,0.9,13,0
Oslo - Blindern,SN18700,2023-02-14,4,-3.5,13,0
Oslo - Blindern,SN18700,2023-02-15,1.1,-1.1,13,0
Oslo - Blindern,SN18700,2023-02-16,4.5,0.4,12,0.5
Oslo - Blindern,SN18700,2023-02-17,3.7,0.6,12,1.8
Oslo - Blindern,SN18700,2023-02-18,6.3,1.1,10,12.8
Oslo - Blindern,SN18700,2023-02-19,3.7,-4.7,10,0
Oslo - Blindern,SN18700,2023-02-20,8.8,-1.3,18,8.2
Oslo - Blindern,SN18700,2023-02-21,6.6,-1.8,17,0
Oslo - Blindern,SN18700,2023-02-22,1.5,-1.8,17,0.2
Oslo - Blindern,SN18700,2023-02-23,5.5,-0.5,23,9.9
Oslo - Blindern,SN18700,2023-02-24,3.3,-1.9,29,6
Oslo - Blindern,SN18700,2023-02-25,3.6,-2.1,28,0
Oslo - Blindern,SN18700,2023-02-26,6.1,-2.8,26,0
Oslo - Blindern,SN18700,2023-02-27,9.9,-3.2,25,0
Oslo - Blindern,SN18700,2023-02-28,9.4,-3.1,24,0
Oslo - Blindern,SN18700,2023-03-01,9.8,-1.8,24,0
Oslo - Blindern,SN18700,2023-03-02,6.9,-4.3,24,0
Oslo - Blindern,SN18700,2023-03-03,8.4,-3,24,0
Oslo - Blindern,SN18700,2023-03-04,7.1,-1.5,23,0
Oslo - Blindern,SN18700,2023-03-05,4.6,-7.1,23,0
Oslo - Blindern,SN18700,2023-03-06,2.3,-6.8,23,0
Oslo - Blindern,SN18700,2023-03-07,-1.3,-9.2,23,0
Oslo - Blindern,SN18700,2023-03-08,1.1,-12.6,23,0
Oslo - Blindern,SN18700,2023-03-09,-0.5,-9,25,1.1
Oslo - Blindern,SN18700,2023-03-10,0.8,-11.1,24,0
Oslo - Blindern,SN18700,2023-03-11,1.1,-11.9,24,0
Oslo - Blindern,SN18700,2023-03-12,1.9,-9.3,24,0
Oslo - Blindern,SN18700,2023-03-13,-0.3,-2.4,29,2.6
Oslo - Blindern,SN18700,2023-03-14,5.2,-5.5,40,12.8
Oslo - Blindern,SN18700,2023-03-15,6.5,-9.3,39,0
Oslo - Blindern,SN18700,2023-03-16,3.6,-8.9,37,0
Oslo - Blindern,SN18700,2023-03-17,2.3,-0.5,42,5.8
Oslo - Blindern,SN18700,2023-03-18,8.3,1.9,38,13.1
Oslo - Blindern,SN18700,2023-03-19,4.1,1.3,33,0.1
Oslo - Blindern,SN18700,2023-03-20,8.4,2.6,29,1.2
Oslo - Blindern,SN18700,2023-03-21,3.4,-2.6,26,0
Oslo - Blindern,SN18700,2023-03-22,5.1,0.4,25,5.8
Oslo - Blindern,SN18700,2023-03-23,5.3,1.7,23,7
Oslo - Blindern,SN18700,2023-03-24,5.3,2.8,22,5.1
Oslo - Blindern,SN18700,2023-03-25,3.7,1.1,19,7.2
Oslo - Blindern,SN18700,2023-03-26,2.6,-3.2,19,1.4
Oslo - Blindern,SN18700,2023-03-27,2.3,-7.7,18,0
Oslo - Blindern,SN18700,2023-03-28,2.5,-8.7,17,0
Oslo - Blindern,SN18700,2023-03-29,3,-2.7,29,9.4
Oslo - Blindern,SN18700,2023-03-30,0.8,-5.7,24,0
Oslo - Blindern,SN18700,2023-03-31,5.7,-1.2,23,0
Oslo - Blindern,SN18700,2023-04-01,7.2,-2.1,21,0
Oslo - Blindern,SN18700,2023-04-02,9.1,-4.7,20,1
