name,station,date,max temperature,precipitation,min temperature
Oslo - Blindern,SN18700,2022-10,17.1,82.9,-0.4
Oslo - Blindern,SN18700,2022-11,15.1,83.4,-2.1
Oslo - Blindern,SN18700,2022-12,6.5,85.5,-14.6
Oslo - Blindern,SN18700,2023-01,7.2,100.5,-13.4
Oslo - Blindern,SN18700,2023-02,10.2,46,-9.4
Oslo - Blindern,SN18700,2023-03,9.8,72.6,-12.6
Oslo - Blindern,SN18700,2023-04,19.8,99.7,-4.7
Oslo - Blindern,SN18700,2023-05,24.2,17,-0.8
Oslo - Blindern,SN18700,2023-06,31.8,39.9,4.6
Oslo - Blindern,SN18700,2023-07,28.4,146.9,8.6
Oslo - Blindern,SN18700,2023-08,24.5,259.8,9.8
Oslo - Blindern,SN18700,2023-09,25.1,105.8,5.3
Oslo - Blindern,SN18700,2023-10,17.1,7.3,-0.7
