name,station,date,max temperature,min temperature,snow depth,precipitation
Tromso - Langnes,SN90490,2022-10-09,6.9,4.7,0,20
Tromso - Langnes,SN90490,2022-10-10,9.5,5.1,0,8.3
Tromso - Langnes,SN90490,2022-10-11,10.7,4.5,0,3
Tromso - Langnes,SN90490,2022-10-12,7.2,3.5,0,6
Tromso - Langnes,SN90490,2022-10-13,8.2,4.2,0,18
Tromso - Langnes,SN90490,2022-10-14,7.3,1.9,0,11.2
Tromso - Langnes,SN90490,2022-10-15,6.3,-1.4,0,0
Tromso - Langnes,SN90490,2022-10-16,7.8,2.2,0,0.6
Tromso - Langnes,SN90490,2022-10-17,6.3,1,0,2
Tromso - Langnes,SN90490,2022-10-18,3.6,1.3,0,10
Tromso - Langnes,SN90490,2022-10-19,7,2.9,0,5
Tromso - Langnes,SN90490,2022-10-20,4.2,2.1,0,8
Tromso - Langnes,SN90490,2022-10-21,5.8,-0.8,0,1
Tromso - Langnes,SN90490,2022-10-22,6.6,1,0,2
Tromso - Langnes,SN90490,2022-10-23,5.1,1,0,30
Tromso - Langnes,SN90490,2022-10-24,2.9,-1.2,0,15
Tromso - Langnes,SN90490,2022-10-25,0.8,-4.2,0,0
Tromso - Langnes,SN90490,2022-10-26,2.2,-1.7,0,0
Tromso - Langnes,SN90490,2022-10-27,3.8,-0.6,0,0.1
Tromso - Langnes,SN90490,2022-10-28,5.7,-0.6,0,0
Tromso - Langnes,SN90490,2022-10-29,6.2,0.9,0,7.2
Tromso - Langnes,SN90490,2022-10-30,4.7,-0.6,0,12.1
Tromso - Langnes,SN90490,2022-10-31,5.7,4.1,0,4.5
Tromso - Langnes,SN90490,2022-11-01,7.3,3.9,0,6.3
Tromso - Langnes,SN90490,2022-11-02,8.5,1.7,0,0.2
Tromso - Langnes,SN90490,2022-11-03,5.9,1.1,0,0
Tromso - Langnes,SN90490,2022-11-04,7.1,1,0,1
Tromso - Langnes,SN90490,2022-11-05,4.1,0.1,0,0
Tromso - Langnes,SN90490,2022-11-06,5.1,1.4,0,1.5
Tromso - Langnes,SN90490,2022-11-07,3.5,0.8,0,4.7
Tromso - Langnes,SN90490,2022-11-08,3.8,-0.7,0,4
Tromso - Langnes,SN90490,2022-11-09,2,-3.6,0,0
Tromso - Langnes,SN90490,2022-11-10,1.4,-2.9,0,0
Tromso - Langnes,SN90490,2022-11-11,2.2,-4.9,0,0
Tromso - Langnes,SN90490,2022-11-12,3.2,0.1,0,9.5
Tromso - Langnes,SN90490,2022-11-13,4.7,2.5,0,5.5
Tromso - Langnes,SN90490,2022-11-14,5.5,1.1,0,4.1
Tromso - Langnes,SN90490,2022-11-15,2.9,-1.2,0,4.7
Tromso - Langnes,SN90490,2022-11-16,-0.8,-4.3,0,0
Tromso - Langnes,SN90490,2022-11-17,-1.9,-4.5,0,0
Tromso - Langnes,SN90490,2022-11-18,-0.6,-4.4,0,0
Tromso - Langnes,SN90490,2022-11-19,-2.5,-5.7,0,0
Tromso - Langnes,SN90490,2022-11-20,-4.1,-6.6,0,0
Tromso - Langnes,SN90490,2022-11-21,-3.8,-7,0,0
Tromso - Langnes,SN90490,2022-11-22,-4,-7,0,0
Tromso - Langnes,SN90490,2022-11-23,-1.1,-6.4,0,0
Tromso - Langnes,SN90490,2022-11-24,-0.2,-4,0,0
