name,station,date,max temperature,precipitation,min temperature
Tromso - Langnes,SN90490,2022-10,10.7,187,-4.2
Tromso - Langnes,SN90490,2022-11,8.5,41.5,-7
Tromso - Langnes,SN90490,2022-12,5.6,88.8,-11.7
Tromso - Langnes,SN90490,2023-01,7.7,111.4,-13.9
Tromso - Langnes,SN90490,2023-02,6.6,171.3,-10.7
Tromso - Langnes,SN90490,2023-03,4.5,157,-15.1
Tromso - Langnes,SN90490,2023-04,9.8,85,-7.1
Tromso - Langnes,SN90490,2023-05,17.7,101.2,-4.6
Tromso - Langnes,SN90490,2023-06,25.4,43.4,-0.4
Tromso - Langnes,SN90490,2023-07,26.7,14,6
Tromso - Langnes,SN90490,2023-08,25.1,43.4,5.4
Tromso - Langnes,SN90490,2023-09,19.3,163.7,0.3
Tromso - Langnes,SN90490,2023-10,9.8,64.8,-0.6
