name,station,date,max temperature,min temperature,snow depth,precipitation
Oslo - Blindern,SN18700,09.10.2022,14,3.1,0,0
Oslo - Blindern,SN18700,10.10.2022,13.6,7.7,0,0
Oslo - Blindern,SN18700,11.10.2022,13,1.5,0,1.3
Oslo - Blindern,SN18700,12.10.2022,11.7,0.6,0,0
Oslo - Blindern,SN18700,13.10.2022,11,9.6,0,3.5
Oslo - Blindern,SN18700,14.10.2022,11.3,8.4,0,14.4
Oslo - Blindern,SN18700,15.10.2022,13.7,8.1,0,6.6
Oslo - Blindern,SN18700,16.10.2022,9.5,3.2,0,8
Oslo - Blindern,SN18700,17.10.2022,7.7,2.3,0,8.1
Oslo - Blindern,SN18700,18.10.2022,10.7,5.4,0,5.3
Oslo - Blindern,SN18700,19.10.2022,8.8,0,0,0
Oslo - Blindern,SN18700,20.10.2022,5.6,-0.4,0,0
Oslo - Blindern,SN18700,21.10.2022,5.4,3.2,0,0
Oslo - Blindern,SN18700,22.10.2022,7.5,3.4,0,0
Oslo - Blindern,SN18700,23.10.2022,5,0.3,0,0
Oslo - Blindern,SN18700,24.10.2022,7.4,4.7,0,0.1
Oslo - Blindern,SN18700,25.10.2022,10.2,6.4,0,10.6
Oslo - Blindern,SN18700,26.10.2022,6.4,2.4,0,1.3
Oslo - Blindern,SN18700,27.10.2022,12,5.8,0,1.6
Oslo - Blindern,SN18700,28.10.2022,11.7,8.8,0,0.3
Oslo - Blindern,SN18700,29.10.2022,14.2,7.7,0,8.2
Oslo - Blindern,SN18700,30.10.2022,8.1,2.1,0,0
Oslo - Blindern,SN18700,31.10.2022,13.3,7.5,0,1.2
Oslo - Blindern,SN18700,01.11.2022,10.8,6.6,0,0.1
Oslo - Blindern,SN18700,02.11.2022,11.7,9,0,7
Oslo - Blindern,SN18700,03.11.2022,10.8,4.9,0,5.5
Oslo - Blindern,SN18700,04.11.2022,10.4,8.3,0,6.4
Oslo - Blindern,SN18700,05.11.2022,10,6.2,0,6.4
Oslo - Blindern,SN18700,06.11.2022,10,3.2,0,6.1
Oslo - Blindern,SN18700,07.11.2022,8.7,5.8,0,13.9
Oslo - Blindern,SN18700,08.11.2022,7.3,1.8,0,6.7
Oslo - Blindern,SN18700,09.11.2022,11.9,7.2,0,10.1
Oslo - Blindern,SN18700,10.11.2022,10.6,5.3,0,0.6
Oslo - Blindern,SN18700,11.11.2022,14.5,10.5,0,1.6
Oslo - Blindern,SN18700,12.11.2022,15.1,7.4,0,0
Oslo - Blindern,SN18700,13.11.2022,7.7,4.6,0,0
Oslo - Blindern,SN18700,14.11.2022,7.9,6.5,0,0
Oslo - Blindern,SN18700,15.11.2022,6.5,3.1,0,0
Oslo - Blindern,SN18700,16.11.2022,3.9,2.1,0,0
Oslo - Blindern,SN18700,17.11.2022,2.3,0.7,0,0.2
Oslo - Blindern,SN18700,18.11.2022,1.4,0.2,0,0
Oslo - Blindern,SN18700,19.11.2022,1,-2.1,0,0
Oslo - Blindern,SN18700,20.11.2022,-0.4,-2.1,0,0
Oslo - Blindern,SN18700,21.11.2022,0.5,-1.2,0,0.3
Oslo - Blindern,SN18700,22.11.2022,0.4,-1.7,0,1.3
Oslo - Blindern,SN18700,23.11.2022,1.6,0.3,2,2.4
Oslo - Blindern,SN18700,24.11.2022,2.1,0.7,0,3.7
Oslo - Blindern,SN18700,25.11.2022,3.4,1.9,0,3
Oslo - Blindern,SN18700,26.11.2022,3.2,1.9,0,0.3
Oslo - Blindern,SN18700,27.11.2022,5.4,2.9,0,6.1
Oslo - Blindern,SN18700,28.11.2022,4.7,3,0,1.1
Oslo - Blindern,SN18700,29.11.2022,4.2,2.4,0,0.3
Oslo - Blindern,SN18700,30.11.2022,2.7,1,0,0.3
Oslo - Blindern,SN18700,01.12.2022,2,0.1,0,0
Oslo - Blindern,SN18700,02.12.2022,1.8,-0.3,0,0
Oslo - Blindern,SN18700,03.12.2022,2,-0.2,0,0
Oslo - Blindern,SN18700,04.12.2022,-0.2,-1.7,0,0
Oslo - Blindern,SN18700,05.12.2022,-1.7,-6.2,0,0
Oslo - Blindern,SN18700,06.12.2022,-1.2,-6.7,0,0
Oslo - Blindern,SN18700,07.12.2022,-1,-6.6,0,0.1
Oslo - Blindern,SN18700,08.12.2022,-4.8,-9,0,0
Oslo - Blindern,SN18700,09.12.2022,-4.1,-7.5,0,0.5
Oslo - Blindern,SN18700,10.12.2022,-4.9,-8.6,0,0
Oslo - Blindern,SN18700,11.12.2022,-7.2,-10.8,1,0
Oslo - Blindern,SN18700,12.12.2022,-6,-9.5,1,0.2
Oslo - Blindern,SN18700,13.12.2022,-6.4,-11.2,2,0
Oslo - Blindern,SN18700,14.12.2022,-8.1,-14,11,4.2
Oslo - Blindern,SN18700,15.12.2022,-7.6,-14.6,7,0
Oslo - Blindern,SN18700,16.12.2022,-8.2,-13.7,6,0
Oslo - Blindern,SN18700,17.12.2022,-4,-8.2,16,2.4
Oslo - Blindern,SN18700,18.12.2022,1.5,-4.1,17,3
Oslo - Blindern,SN18700,19.12.2022,-0.7,-5.4,15,0.4
