name,station,date,max temperature,precipitation,min temperature
Oslo - Blindern,SN18700,10.2022,17.1,82.9,-0.4
Oslo - Blindern,SN18700,11.2022,15.1,83.4,-2.1
Oslo - Blindern,SN18700,12.2022,6.5,85.5,-14.6
Oslo - Blindern,SN18700,01.2023,7.2,100.5,-13.4
Oslo - Blindern,SN18700,02.2023,10.2,46,-9.4
Oslo - Blindern,SN18700,03.2023,9.8,72.6,-12.6
Oslo - Blindern,SN18700,04.2023,19.8,99.7,-4.7
Oslo - Blindern,SN18700,05.2023,24.2,17,-0.8
Oslo - Blindern,SN18700,06.2023,31.8,39.9,4.6
Oslo - Blindern,SN18700,07.2023,28.4,146.9,8.6
Oslo - Blindern,SN18700,08.2023,24.5,259.8,9.8
Oslo - Blindern,SN18700,09.2023,25.1,105.8,5.3
Oslo - Blindern,SN18700,10.2023,17.1,7.3,-0.7
