name,station,date,max temperature,min temperature,snow depth,precipitation
Tromso - Langnes,SN90490,09.10.2022,6.9,4.7,0,20
Tromso - Langnes,SN90490,10.10.2022,9.5,5.1,0,8.3
Tromso - Langnes,SN90490,11.10.2022,10.7,4.5,0,3
Tromso - Langnes,SN90490,12.10.2022,7.2,3.5,0,6
Tromso - Langnes,SN90490,13.10.2022,8.2,4.2,0,18
Tromso - Langnes,SN90490,14.10.2022,7.3,1.9,0,11.2
Tromso - Langnes,SN90490,15.10.2022,6.3,-1.4,0,0
Tromso - Langnes,SN90490,16.10.2022,7.8,2.2,0,0.6
Tromso - Langnes,SN90490,17.10.2022,6.3,1,0,2
Tromso - Langnes,SN90490,18.10.2022,3.6,1.3,0,10
Tromso - Langnes,SN90490,19.10.2022,7,2.9,0,5
Tromso - Langnes,SN90490,20.10.2022,4.2,2.1,0,8
Tromso - Langnes,SN90490,21.10.2022,5.8,-0.8,0,1
Tromso - Langnes,SN90490,22.10.2022,6.6,1,0,2
Tromso - Langnes,SN90490,23.10.2022,5.1,1,0,30
Tromso - Langnes,SN90490,24.10.2022,2.9,-1.2,0,15
Tromso - Langnes,SN90490,25.10.2022,0.8,-4.2,0,0
Tromso - Langnes,SN90490,26.10.2022,2.2,-1.7,0,0
Tromso - Langnes,SN90490,27.10.2022,3.8,-0.6,0,0.1
Tromso - Langnes,SN90490,28.10.2022,5.7,-0.6,0,0
Tromso - Langnes,SN90490,29.10.2022,6.2,0.9,0,7.2
Tromso - Langnes,SN90490,30.10.2022,4.7,-0.6,0,12.1
Tromso - Langnes,SN90490,31.10.2022,5.7,4.1,0,4.5
Tromso - Langnes,SN90490,01.11.2022,7.3,3.9,0,6.3
Tromso - Langnes,SN90490,02.11.2022,8.5,1.7,0,0.2
Tromso - Langnes,SN90490,03.11.2022,5.9,1.1,0,0
Tromso - Langnes,SN90490,04.11.2022,7.1,1,0,1
Tromso - Langnes,SN90490,05.11.2022,4.1,0.1,0,0
Tromso - Langnes,SN90490,06.11.2022,5.1,1.4,0,1.5
Tromso - Langnes,SN90490,07.11.2022,3.5,0.8,0,4.7
Tromso - Langnes,SN90490,08.11.2022,3.8,-0.7,0,4
Tromso - Langnes,SN90490,09.11.2022,2,-3.6,0,0
Tromso - Langnes,SN90490,10.11.2022,1.4,-2.9,0,0
Tromso - Langnes,SN90490,11.11.2022,2.2,-4.9,0,0
Tromso - Langnes,SN90490,12.11.2022,3.2,0.1,0,9.5
Tromso - Langnes,SN90490,13.11.2022,4.7,2.5,0,5.5
Tromso - Langnes,SN90490,14.11.2022,5.5,1.1,0,4.1
Tromso - Langnes,SN90490,15.11.2022,2.9,-1.2,0,4.7
Tromso - Langnes,SN90490,16.11.2022,-0.8,-4.3,0,0
Tromso - Langnes,SN90490,17.11.2022,-1.9,-4.5,0,0
Tromso - Langnes,SN90490,18.11.2022,-0.6,-4.4,0,0
Tromso - Langnes,SN90490,19.11.2022,-2.5,-5.7,0,0
Tromso - Langnes,SN90490,20.11.2022,-4.1,-6.6,0,0
Tromso - Langnes,SN90490,21.11.2022,-3.8,-7,0,0
Tromso - Langnes,SN90490,22.11.2022,-4,-7,0,0
Tromso - Langnes,SN90490,23.11.2022,-1.1,-6.4,0,0
Tromso - Langnes,SN90490,24.11.2022,-0.2,-4,0,0
Tromso - Langnes,SN90490,25.11.2022,-1.2,-4.4,0,0
Tromso - Langnes,SN90490,26.11.2022,1.4,-6.7,0,0
Tromso - Langnes,SN90490,27.11.2022,3.7,0.6,0,0
Tromso - Langnes,SN90490,28.11.2022,3.3,-1.6,0,0
Tromso - Langnes,SN90490,29.11.2022,2.9,-3.6,0,0
Tromso - Langnes,SN90490,30.11.2022,3.4,2,0,0
Tromso - Langnes,SN90490,01.12.2022,2.2,0.2,0,11
Tromso - Langnes,SN90490,02.12.2022,2.2,-0.5,0,1.5
Tromso - Langnes,SN90490,03.12.2022,1.2,-1.4,0,0
Tromso - Langnes,SN90490,04.12.2022,-1.2,-2.3,0,0
Tromso - Langnes,SN90490,05.12.2022,3.7,-1.9,2,4.8
Tromso - Langnes,SN90490,06.12.2022,2.9,-1.3,0,2
Tromso - Langnes,SN90490,07.12.2022,0.3,-5.1,18,14
Tromso - Langnes,SN90490,08.12.2022,1,-5,18,0
Tromso - Langnes,SN90490,09.12.2022,1.5,-2.4,15,0
Tromso - Langnes,SN90490,10.12.2022,-2.2,-10.7,15,0
Tromso - Langnes,SN90490,11.12.2022,-7.9,-11.4,15,0
Tromso - Langnes,SN90490,12.12.2022,-5.6,-10.8,15,0
Tromso - Langnes,SN90490,13.12.2022,-6.2,-11.7,15,0
Tromso - Langnes,SN90490,14.12.2022,0.2,-10.4,15,0
Tromso - Langnes,SN90490,15.12.2022,1.1,-3,20,5
Tromso - Langnes,SN90490,16.12.2022,-0.9,-3.1,27,8
Tromso - Langnes,SN90490,17.12.2022,-1,-4.4,24,2.4
Tromso - Langnes,SN90490,18.12.2022,-3,-8.9,24,0
Tromso - Langnes,SN90490,19.12.2022,-1.8,-6.8,24,0
Tromso - Langnes,SN90490,20.12.2022,-2,-8,24,0.5
Tromso - Langnes,SN90490,21.12.2022,-2.6,-8.1,24,0
Tromso - Langnes,SN90490,22.12.2022,-1.9,-7.4,24,0.1
Tromso - Langnes,SN90490,23.12.2022,-1.4,-4.7,25,3
Tromso - Langnes,SN90490,24.12.2022,-0.7,-2.9,50,19.5
Tromso - Langnes,SN90490,25.12.2022,0.8,-2.4,56,9
Tromso - Langnes,SN90490,26.12.2022,-0.9,-8.5,56,3.5
Tromso - Langnes,SN90490,27.12.2022,4.8,-8.3,51,0
Tromso - Langnes,SN90490,28.12.2022,0.4,-2.9,48,0
Tromso - Langnes,SN90490,29.12.2022,1.3,-1.8,45,4.5
Tromso - Langnes,SN90490,30.12.2022,3.2,-0.6,45,0
Tromso - Langnes,SN90490,31.12.2022,5.6,-1.5,45,0
Tromso - Langnes,SN90490,01.01.2023,3,0.1,30,6
Tromso - Langnes,SN90490,02.01.2023,2.6,0.4,24,5
Tromso - Langnes,SN90490,03.01.2023,1.2,-2.6,30,9
Tromso - Langnes,SN90490,04.01.2023,-0.4,-8.9,25,0
Tromso - Langnes,SN90490,05.01.2023,-6.7,-10.8,24,0
Tromso - Langnes,SN90490,06.01.2023,-7.8,-13.5,23,0
Tromso - Langnes,SN90490,07.01.2023,-5,-13.9,22,0
Tromso - Langnes,SN90490,08.01.2023,-3.1,-6.7,22,0
Tromso - Langnes,SN90490,09.01.2023,-0.2,-3.6,22,0
Tromso - Langnes,SN90490,10.01.2023,-0.9,-5.5,20,0
Tromso - Langnes,SN90490,11.01.2023,0.2,-5,20,0
Tromso - Langnes,SN90490,12.01.2023,0.4,-4.3,20,0
Tromso - Langnes,SN90490,13.01.2023,2,-2,21,2.5
Tromso - Langnes,SN90490,14.01.2023,2.3,-1.5,33,11.5
Tromso - Langnes,SN90490,15.01.2023,-0.1,-7.3,33,0.7
Tromso - Langnes,SN90490,16.01.2023,-2,-6.3,33,0
Tromso - Langnes,SN90490,17.01.2023,2.8,-2.2,35,1.5
Tromso - Langnes,SN90490,18.01.2023,1.6,-4.3,35,2
Tromso - Langnes,SN90490,19.01.2023,1.3,-1.8,20,0
Tromso - Langnes,SN90490,20.01.2023,2.9,0.3,20,0
Tromso - Langnes,SN90490,21.01.2023,2.8,0.2,20,3.5
Tromso - Langnes,SN90490,22.01.2023,7.7,2,35,3
Tromso - Langnes,SN90490,23.01.2023,7.7,-0.2,34,0
Tromso - Langnes,SN90490,24.01.2023,2.4,-0.7,30,1.4
Tromso - Langnes,SN90490,25.01.2023,2.5,-1,30,7.1
Tromso - Langnes,SN90490,26.01.2023,0.8,-1.8,45,12
Tromso - Langnes,SN90490,27.01.2023,4.3,-1.1,50,14
Tromso - Langnes,SN90490,28.01.2023,5,-0.6,40,11
Tromso - Langnes,SN90490,29.01.2023,2.1,-2.2,46,8
Tromso - Langnes,SN90490,30.01.2023,-0.9,-8.5,45,12.2
Tromso - Langnes,SN90490,31.01.2023,-1.1,-7.4,45,1
Tromso - Langnes,SN90490,01.02.2023,-0.7,-6.6,49,5.5
Tromso - Langnes,SN90490,02.02.2023,-3.1,-7,49,0
Tromso - Langnes,SN90490,03.02.2023,-5.9,-10.7,49,0
Tromso - Langnes,SN90490,04.02.2023,0.7,-7,50,2
Tromso - Langnes,SN90490,05.02.2023,3.9,-0.3,49,4.3
Tromso - Langnes,SN90490,06.02.2023,6,0.5,43,6.2
Tromso - Langnes,SN90490,07.02.2023,6.6,0.7,32,11
Tromso - Langnes,SN90490,08.02.2023,6.6,0.8,25,7
Tromso - Langnes,SN90490,09.02.2023,5.6,-1.4,25,10
Tromso - Langnes,SN90490,10.02.2023,1,-3.5,30,5.5
Tromso - Langnes,SN90490,11.02.2023,0.8,-3.4,42,14.5
Tromso - Langnes,SN90490,12.02.2023,4.7,-1.7,49,10
Tromso - Langnes,SN90490,13.02.2023,4.7,0.5,42,19.5
Tromso - Langnes,SN90490,14.02.2023,5.5,0.1,40,18
Tromso - Langnes,SN90490,15.02.2023,5.6,4,38,3
Tromso - Langnes,SN90490,16.02.2023,0,1.5,36,0
Tromso - Langnes,SN90490,17.02.2023,0,-3.9,35,0
Tromso - Langnes,SN90490,18.02.2023,-0.1,-4.2,35,0
Tromso - Langnes,SN90490,19.02.2023,-0.4,-5.3,35,0
Tromso - Langnes,SN90490,20.02.2023,0.1,-4.4,40,5
Tromso - Langnes,SN90490,21.02.2023,-4,-7.7,40,0.5
