# Weather station Cairo (airport), Egypt, WMO_ID=62366,selection from 06.01.2019 till 15.10.2021, all days
# Encoding: ANSI
# The data is provided by the website Reliable Prognosis, rp5.kz
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.kz/archive.php?wmo_id=62366&lang=en
#
Local time,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
15.10.2021 23:00,24.9,756.1,761.7,0,56,Wind blowing from the east-northeast,3,,,no clouds, ,,,,,,,,,,10,15.5,,,,,,
15.10.2021 20:00,27.3,756.1,761.6,1.1,37,Wind blowing from the north-east,4,,,no clouds, ,,,,32.4,,,,,,10,11.3,,,,,,
15.10.2021 17:00,31.9,755,760.4,0.4,22,Wind blowing from the north-east,4,,,no clouds, ,,,,,,,,,,10,7.5,,,,,,
15.10.2021 14:00,32.4,754.6,760,-0.9,29,Wind blowing from the north-northeast,4,,,no clouds, ,,,,,,,,,,10,12.2,,,,,,
15.10.2021 11:00,29.7,755.5,761,0,36,Wind blowing from the north-east,5,,,no clouds, ,,,,,,,,,,10,13,,,,,,
15.10.2021 08:00,23.8,755.5,761.1,0.2,83,Wind blowing from the east,5,,,no clouds, ,,,21.4,,,,,,,10,20.7,,,,,,
15.10.2021 05:00,21.9,755.3,760.9,-0.2,95,Wind blowing from the east-northeast,3,,,40%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,21.1,,,,,,
15.10.2021 02:00,22.7,755.5,761.1,-0.4,90,Wind blowing from the east-northeast,3,,,no clouds, ,,,,,,,,,,10,21,,,,,,
14.10.2021 23:00,23.7,755.9,761.5,-0.1,81,Wind blowing from the east-northeast,5,,,no clouds, ,,,,,,,,,,10,20.2,,,,,,
14.10.2021 20:00,26.2,756,761.5,1.3,54,Wind blowing from the north-east,6,,,no clouds, ,,,,32.6,,,,,,10,16.2,,,,,,
14.10.2021 17:00,30.8,754.7,760.1,0.1,30,Wind blowing from the north-east,6,,,40%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",40%.,2000-2500,Altostratus opacus or Nimbostratus.,"No Cirrus, Cirrocumulus or Cirrostratus.",10,11.2,,,,,,
14.10.2021 14:00,32.1,754.6,760,-1.1,26,Wind blowing from the north-northeast,5,,,no clouds, ,,,,,,,,,,10,10.2,,,,,,
