# Weather station Espoo / Tapiola, Finland, WMO_ID=2985,selection from 01.01.2019 till 19.10.2021, all days
# Encoding: UTF-8
# The data is provided by the website Reliable Prognosis, rp5.kz
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.kz/archive.php?wmo_id=2985&lang=en
#
Local time,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
19.10.2021 12:00,3.6,765.8,766.6,,63,Wind blowing from the north-west,3,5,5,no clouds,No significant weather observed. ,,,,,,,,,,45,-2.8,No precipitation,1,,,,
19.10.2021 09:00,-1.6,765.4,766.2,,93,Wind blowing from the west-northwest,2,3,4,no clouds,No significant weather observed. ,,,-1.9,4.2,,,,,,50,-2.6,No precipitation,12,,,,
19.10.2021 06:00,-0.6,764.6,765.3,,88,Wind blowing from the west-northwest,4,6,6,no clouds,No significant weather observed. ,,,,,,,,,,50,-2.3,No precipitation,1,,,,
19.10.2021 03:00,0.7,764.1,764.8,,84,Wind blowing from the west,4,6,6,no clouds,No significant weather observed. ,,,,,,,,,,50,-1.8,No precipitation,1,,,,
19.10.2021 00:00,3.2,762.7,763.4,,73,Wind blowing from the north-west,4,7,8,"90  or more, but not 100%",No significant weather observed. ,,,,,,"90  or more, but not 100%",600-1000,,,50,-1.3,No precipitation,1,,,,
18.10.2021 21:00,4.2,761.3,762.1,,69,Wind blowing from the north-west,4,7,9,60%.,No significant weather observed. ,,,4,,,60%.,600-1000,,,50,-1,No precipitation,12,,,,
18.10.2021 18:00,6,759.9,760.6,,60,Wind blowing from the north-west,5,8,11,"90  or more, but not 100%",No significant weather observed. ,,,,,,"90  or more, but not 100%",2000-2500,,,50,-1.3,No precipitation,1,,,,
18.10.2021 15:00,6.2,758.5,759.2,,63,Wind blowing from the west-northwest,8,12,12,"90  or more, but not 100%",No significant weather observed. ,,,,,,40%.,600-1000,,,50,-0.4,No precipitation,1,,,,
18.10.2021 12:00,5.3,757.1,757.9,,69,Wind blowing from the north-west,8,12,,70 – 80%.,No significant weather observed. ,,,,,,70 – 80%.,600-1000,,,45,0.1,No precipitation,1,,,,
18.10.2021 09:00,4,755.8,756.5,,78,Wind blowing from the north-west,6,10,12,"90  or more, but not 100%",No significant weather observed. ,,,1.6,4.7,,"90  or more, but not 100%",300-600,,,50,0.5,No precipitation,12,,,,
18.10.2021 06:00,4.1,754.3,754.9,,79,Wind blowing from the west-northwest,6,11,11,"90  or more, but not 100%",No significant weather observed. ,,,,,,50%.,300-600,,,50,0.7,No precipitation,1,,,,
18.10.2021 03:00,3.5,753.4,754.1,,83,Wind blowing from the west-northwest,7,10,12,"90  or more, but not 100%",No significant weather observed. ,,,,,,"90  or more, but not 100%",300-600,,,50,0.8,No precipitation,1,,,,
18.10.2021 00:00,1.6,753,753.7,,85,Wind blowing from the west-northwest,3,4,6,70 – 80%.,No significant weather observed. ,,,,,,50%.,600-1000,,,50,-0.6,No precipitation,1,,,,
17.10.2021 21:00,4.7,752.9,753.6,,71,Wind blowing from the west-southwest,5,7,9,no clouds,No significant weather observed. ,,,4.2,8.8,,,,,,40,-0.2,No precipitation,12,,,,
17.10.2021 18:00,7.2,752.6,753.4,,56,Wind blowing from the west,7,11,,no clouds,No significant weather observed. ,,,,,,,,,,50,-1.2,No precipitation,1,,,,
17.10.2021 15:00,8.5,752.5,753.2,,52,Wind blowing from the west-northwest,6,9,13,40%.,No significant weather observed. ,,,,,,40%.,1000-1500,,,45,-0.8,No precipitation,1,,,,
17.10.2021 12:00,7,752.3,753,,62,Wind blowing from the west,9,14,14,no clouds,No significant weather observed. ,,,,,,,,,,50,0.1,No precipitation,1,,,,
17.10.2021 09:00,4.2,751.6,752.3,,79,Wind blowing from the west,5,8,9,no clouds,No significant weather observed. ,,,3.5,7,,,,,,45,0.9,0.8,12,,,,
17.10.2021 06:00,3.9,750.7,751.3,,85,Wind blowing from the west,5,7,8,no clouds,No significant weather observed. ,,,,,,,,,,50,1.5,No precipitation,1,,,,
17.10.2021 03:00,4.5,749.8,750.4,,82,Wind blowing from the west-southwest,5,8,9,no clouds,No significant weather observed. ,,,,,,,,,,50,1.6,No precipitation,1,,,,
17.10.2021 00:00,4.7,749.1,749.8,,86,Wind blowing from the west-southwest,5,8,16,50%.,Rain (not freezing). ,,,,,,20–30%.,1000-1500,,,50,2.6,0.6,1,,,,
16.10.2021 21:00,6.1,748.8,749.5,,75,Wind blowing from the west-southwest,5,8,11,no clouds,No significant weather observed. ,,,4.6,9.4,,,,,,45,2,No precipitation,12,,,,
16.10.2021 18:00,7.7,748.4,749.1,,62,Wind blowing from the west-southwest,6,10,11,no clouds,No significant weather observed. ,,,,,,,,,,45,0.8,No precipitation,1,,,,
16.10.2021 15:00,9.4,748.4,749.1,,48,Wind blowing from the west,7,12,16,70 – 80%.,No significant weather observed. ,,,,,,,"2500 or more, or no clouds.",,,45,-1.2,No precipitation,1,,,,
16.10.2021 12:00,8.2,748.6,749.3,,60,Wind blowing from the west-southwest,7,10,13,40%.,No significant weather observed. ,,,,,,40%.,1000-1500,,,45,0.8,No precipitation,1,,,,
16.10.2021 09:00,4.6,747.9,748.6,,77,Wind blowing from the west-southwest,6,9,10,no clouds,No significant weather observed. ,,,3.8,8.8,,,,,,50,0.9,No precipitation,12,,,,
16.10.2021 06:00,4.1,747.1,747.7,,82,Wind blowing from the west-southwest,6,9,10,50%.,No significant weather observed. ,,,,,,50%.,"2500 or more, or no clouds.",,,50,1.3,No precipitation,1,,,,
16.10.2021 03:00,4.7,746,746.7,,79,Wind blowing from the west-southwest,7,10,11,"10%  or less, but not 0",No significant weather observed. ,,,,,,"10%  or less, but not 0",600-1000,,,50,1.4,No precipitation,1,,,,
16.10.2021 00:00,5.3,744.6,745.3,,78,Wind blowing from the west-southwest,9,15,16,"90  or more, but not 100%",No significant weather observed. ,,,,,,"90  or more, but not 100%",600-1000,,,50,1.7,No precipitation,1,,,,
15.10.2021 21:00,8.9,742.8,743.4,,83,Wind blowing from the west-southwest,7,14,14,"90  or more, but not 100%",Rain (not freezing). ,,,7.7,10.3,,"90  or more, but not 100%",300-600,,,45,6.2,6,12,,,,
15.10.2021 18:00,10,743.2,743.9,,90,Wind blowing from the west-southwest,7,,15,100%.,"Rain, not freezing, slight. ",,,,,,100%.,300-600,,,19,8.4,3,1,,,,
15.10.2021 15:00,10.1,744.9,745.6,,94,Wind blowing from the south,8,14,15,100%.,"Rain shower(s) or intermittent rain, slight. ",,,,,,100%.,100-200,,,18,9.1,No precipitation,1,,,,
15.10.2021 12:00,9.2,746.8,747.4,,93,Wind blowing from the south,9,14,16,100%.,"Rain shower(s) or intermittent rain, slight. ",,,,,,100%.,200-300,,,30,8.1,0.1,1,,,,
15.10.2021 09:00,8.8,748,748.6,,93,Wind blowing from the south,7,13,14,100%.,No significant weather observed. ,,,7.8,8.9,,100%.,200-300,,,30,7.7,0.2,12,,,,
15.10.2021 06:00,8.3,749.7,750.4,,89,Wind blowing from the south,6,15,15,100%.,Rain (not freezing). ,,,,,,100%.,300-600,,,30,6.5,No precipitation,1,,,,
15.10.2021 03:00,8,751.9,752.6,,89,Wind blowing from the south,8,11,13,100%.,"Rain, not freezing, slight. ",,,,,,100%.,300-600,,,10,6.3,0.1,1,,,,
15.10.2021 00:00,8.5,754.3,755,,77,Wind blowing from the south,7,13,13,100%.,Drizzle (not freezing) or snow grains. ,,,,,,100%.,1000-1500,,,50,4.6,No precipitation,1,,,,
14.10.2021 21:00,8.5,756.1,756.8,,71,Wind blowing from the south-southwest,6,11,12,100%.,No significant weather observed. ,,,-0.3,10,,100%.,"2500 or more, or no clouds.",,,50,3.4,No precipitation,12,,,,
14.10.2021 18:00,7.8,757.5,758.2,,68,Wind blowing from the south-southwest,5,9,9,20–30%.,No significant weather observed. ,,,,,,,"2500 or more, or no clouds.",,,50,2.2,No precipitation,1,,,,
14.10.2021 15:00,9.1,758.5,759.1,,68,Wind blowing from the south-southwest,7,11,12,"90  or more, but not 100%",No significant weather observed. ,,,,,,"90  or more, but not 100%",600-1000,,,45,3.4,No precipitation,1,,,,
14.10.2021 12:00,8.2,759.4,760.2,,78,Wind blowing from the south,3,5,6,"90  or more, but not 100%","Rain shower(s) or intermittent rain, slight. ",,,,,,"90  or more, but not 100%",600-1000,,,6,4.5,No precipitation,1,,,,
14.10.2021 09:00,-0.3,760,760.7,,99,Wind blowing from the west,1,1,2,no clouds,No significant weather observed. ,,,-0.4,4.7,,,,,,11,-0.4,No precipitation,12,,,,
14.10.2021 06:00,1.5,759.9,760.6,,99,Wind blowing from the west-northwest,2,2,3,no clouds,Mist. ,,,,,,,,,,9,1.4,No precipitation,1,,,,
14.10.2021 03:00,4.5,759.9,760.6,,96,Wind blowing from the north-west,1,2,4,100%.,No significant weather observed. ,,,,,,100%.,600-1000,,,40,3.9,No precipitation,1,,,,
14.10.2021 00:00,1.9,759.6,760.3,,99,Wind blowing from the west-northwest,2,3,3,70 – 80%.,No significant weather observed. ,,,,,,70 – 80%.,1000-1500,,,18,1.7,No precipitation,1,,,,
13.10.2021 21:00,3.9,758.9,759.6,,99,Wind blowing from the west,2,3,3,"10%  or less, but not 0",No significant weather observed. ,,,3.9,9.7,,"10%  or less, but not 0",2000-2500,,,26,3.7,No precipitation,12,,,,
13.10.2021 18:00,8.5,757.9,758.5,,82,Wind blowing from the west,2,3,5,"90  or more, but not 100%",Drizzle (not freezing) or snow grains. ,,,,,,50%.,600-1000,,,50,5.6,No precipitation,1,,,,
13.10.2021 15:00,9.6,756.8,757.5,,68,Wind blowing from the north,3,4,5,100%.,No significant weather observed. ,,,,,,100%.,1000-1500,,,45,4,No precipitation,1,,,,
13.10.2021 12:00,7.7,756.2,756.9,,86,Wind blowing from the north-west,3,4,6,"90  or more, but not 100%",No significant weather observed. ,,,,,,"90  or more, but not 100%",200-300,,,45,5.5,No precipitation,1,,,,
13.10.2021 09:00,6.8,755.3,756,,97,Wind blowing from the north,2,3,3,100%.,"Rain shower(s) or intermittent rain, slight. ",,,5.8,7,,100%.,100-200,,,8,6.4,0.1,12,,,,
