# Weather station Espoo / Tapiola, Finland, WMO_ID=2985,selection from 01.01.2019 till 19.10.2021, all days
# Encoding: UTF-8
# The data is provided by the website ""Reliable Prognosis"", rp5.kz
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.kz/archive.php?wmo_id=2985&lang=en
#
Local time in Espoo / Tapiola,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
19.10.2021 12:00,3.6,765.8,766.6,,63,Wind blowing from the north-west,3,5,5,no clouds,No significant weather observed. ,,,,,,,,,,45.0,-2.8,No precipitation,1,,,,
19.10.2021 09:00,-1.6,765.4,766.2,,93,Wind blowing from the west-northwest,2,3,4,no clouds,No significant weather observed. ,,,-1.9,4.2,,,,,,50.0,-2.6,No precipitation,12,,,,
19.10.2021 06:00,-0.6,764.6,765.3,,88,Wind blowing from the west-northwest,4,6,6,no clouds,No significant weather observed. ,,,,,,,,,,50.0,-2.3,No precipitation,1,,,,
19.10.2021 03:00,0.7,764.1,764.8,,84,Wind blowing from the west,4,6,6,no clouds,No significant weather observed. ,,,,,,,,,,50.0,-1.8,No precipitation,1,,,,
19.10.2021 00:00,3.2,762.7,763.4,,73,Wind blowing from the north-west,4,7,8,"90  or more, but not 100%",No significant weather observed. ,,,,,,"90  or more, but not 100%",600-1000,,,50.0,-1.3,No precipitation,1,,,,
18.10.2021 21:00,4.2,761.3,762.1,,69,Wind blowing from the north-west,4,7,9,60%.,No significant weather observed. ,,,4.0,,,60%.,600-1000,,,50.0,-1.0,No precipitation,12,,,,
18.10.2021 18:00,6.0,759.9,760.6,,60,Wind blowing from the north-west,5,8,11,"90  or more, but not 100%",No significant weather observed. ,,,,,,"90  or more, but not 100%",2000-2500,,,50.0,-1.3,No precipitation,1,,,,
18.10.2021 15:00,6.2,758.5,759.2,,63,Wind blowing from the west-northwest,8,12,12,"90  or more, but not 100%",No significant weather observed. ,,,,,,40%.,600-1000,,,50.0,-0.4,No precipitation,1,,,,
18.10.2021 12:00,5.3,757.1,757.9,,69,Wind blowing from the north-west,8,12,,70 – 80%.,No significant weather observed. ,,,,,,70 – 80%.,600-1000,,,45.0,0.1,No precipitation,1,,,,
18.10.2021 09:00,4.0,755.8,756.5,,78,Wind blowing from the north-west,6,10,12,"90  or more, but not 100%",No significant weather observed. ,,,1.6,4.7,,"90  or more, but not 100%",300-600,,,50.0,0.5,No precipitation,12,,,,
18.10.2021 06:00,4.1,754.3,754.9,,79,Wind blowing from the west-northwest,6,11,11,"90  or more, but not 100%",No significant weather observed. ,,,,,,50%.,300-600,,,50.0,0.7,No precipitation,1,,,,
18.10.2021 03:00,3.5,753.4,754.1,,83,Wind blowing from the west-northwest,7,10,12,"90  or more, but not 100%",No significant weather observed. ,,,,,,"90  or more, but not 100%",300-600,,,50.0,0.8,No precipitation,1,,,,
18.10.2021 00:00,1.6,753.0,753.7,,85,Wind blowing from the west-northwest,3,4,6,70 – 80%.,No significant weather observed. ,,,,,,50%.,600-1000,,,50.0,-0.6,No precipitation,1,,,,
17.10.2021 21:00,4.7,752.9,753.6,,71,Wind blowing from the west-southwest,5,7,9,no clouds,No significant weather observed. ,,,4.2,8.8,,,,,,40.0,-0.2,No precipitation,12,,,,
17.10.2021 18:00,7.2,752.6,753.4,,56,Wind blowing from the west,7,11,,no clouds,No significant weather observed. ,,,,,,,,,,50.0,-1.2,No precipitation,1,,,,
17.10.2021 15:00,8.5,752.5,753.2,,52,Wind blowing from the west-northwest,6,9,13,40%.,No significant weather observed. ,,,,,,40%.,1000-1500,,,45.0,-0.8,No precipitation,1,,,,
17.10.2021 12:00,7.0,752.3,753.0,,62,Wind blowing from the west,9,14,14,no clouds,No significant weather observed. ,,,,,,,,,,50.0,0.1,No precipitation,1,,,,
17.10.2021 09:00,4.2,751.6,752.3,,79,Wind blowing from the west,5,8,9,no clouds,No significant weather observed. ,,,3.5,7.0,,,,,,45.0,0.9,0.8,12,,,,
17.10.2021 06:00,3.9,750.7,751.3,,85,Wind blowing from the west,5,7,8,no clouds,No significant weather observed. ,,,,,,,,,,50.0,1.5,No precipitation,1,,,,
17.10.2021 03:00,4.5,749.8,750.4,,82,Wind blowing from the west-southwest,5,8,9,no clouds,No significant weather observed. ,,,,,,,,,,50.0,1.6,No precipitation,1,,,,
